,Año,Trimestre,Provincia,Tecnología,Accesos
346,2019,2,La Pampa,ADSL,19471.0
347,2019,2,La Rioja,ADSL,15014.0
348,2019,2,Mendoza,ADSL,148673.0
349,2019,2,Misiones,ADSL,55373.0
350,2019,2,Neuquén,ADSL,43420.0
351,2019,2,Río Negro,ADSL,67841.0
352,2019,2,Salta,ADSL,68827.0
353,2019,2,San Juan,ADSL,51680.0
354,2019,2,San Luis,ADSL,11130.0
355,2019,2,Santa Cruz,ADSL,10665.0
356,2019,2,Santa Fe,ADSL,325420.0
357,2019,2,Santiago Del Estero,ADSL,24393.0
358,2019,2,Tierra Del Fuego,ADSL,19790.0
359,2019,2,Tucumán,ADSL,153121.0
360,2019,1,Buenos Aires,ADSL,1304507.0
361,2019,1,Capital Federal,ADSL,328246.0
362,2019,1,Catamarca,ADSL,26912.0
363,2019,1,Chaco,ADSL,53409.0
364,2019,1,Chubut,ADSL,37302.0
365,2019,1,Córdoba,ADSL,323272.0
366,2019,1,Corrientes,ADSL,55842.0
367,2019,1,Entre Ríos,ADSL,100999.0
368,2019,1,Formosa,ADSL,22570.0
369,2019,1,Jujuy,ADSL,33248.0
370,2019,1,La Pampa,ADSL,18832.0
371,2019,1,La Rioja,ADSL,16367.0
372,2019,1,Mendoza,ADSL,148524.0
373,2019,1,Misiones,ADSL,54898.0
374,2019,1,Neuquén,ADSL,40747.0
375,2019,1,Río Negro,ADSL,68377.0
376,2019,1,Salta,ADSL,74426.0
377,2019,1,San Juan,ADSL,51660.0
378,2019,1,San Luis,ADSL,11108.0
379,2019,1,Santa Cruz,ADSL,10659.0
380,2019,1,Santa Fe,ADSL,340038.0
381,2019,1,Santiago Del Estero,ADSL,25337.0
382,2019,1,Tierra Del Fuego,ADSL,19789.0
383,2019,1,Tucumán,ADSL,159215.0
384,2018,4,Buenos Aires,ADSL,1305576.0
385,2018,4,Capital Federal,ADSL,328253.0
386,2018,4,Catamarca,ADSL,26912.0
387,2018,4,Chaco,ADSL,53409.0
388,2018,4,Chubut,ADSL,37215.0
389,2018,4,Córdoba,ADSL,328854.0
390,2018,4,Corrientes,ADSL,55842.0
391,2018,4,Entre Ríos,ADSL,101168.0
392,2018,4,Formosa,ADSL,22619.0
393,2018,4,Jujuy,ADSL,33248.0
394,2018,4,La Pampa,ADSL,18832.0
395,2018,4,La Rioja,ADSL,16367.0
396,2018,4,Mendoza,ADSL,148524.0
397,2018,4,Misiones,ADSL,55500.0
398,2018,4,Neuquén,ADSL,40747.0
399,2018,4,Río Negro,ADSL,68377.0
400,2018,4,Salta,ADSL,74295.0
401,2018,4,San Juan,ADSL,51660.0
402,2018,4,San Luis,ADSL,11108.0
403,2018,4,Santa Cruz,ADSL,10659.0
404,2018,4,Santa Fe,ADSL,335519.0
405,2018,4,Santiago Del Estero,ADSL,25339.0
406,2018,4,Tierra Del Fuego,ADSL,19789.0
407,2018,4,Tucumán,ADSL,159215.0
408,2018,3,Buenos Aires,ADSL,1435856.0
409,2018,3,Capital Federal,ADSL,334353.0
410,2018,3,Catamarca,ADSL,27553.0
411,2018,3,Chaco,ADSL,53927.0
412,2018,3,Chubut,ADSL,58887.0
413,2018,3,Córdoba,ADSL,337620.0
414,2018,3,Corrientes,ADSL,56444.0
415,2018,3,Entre Ríos,ADSL,103318.0
416,2018,3,Formosa,ADSL,22777.0
417,2018,3,Jujuy,ADSL,33363.0
418,2018,3,La Pampa,ADSL,12415.0
419,2018,3,La Rioja,ADSL,16587.0
420,2018,3,Mendoza,ADSL,151033.0
421,2018,3,Misiones,ADSL,56290.0
422,2018,3,Neuquén,ADSL,46602.0
423,2018,3,Río Negro,ADSL,68590.0
424,2018,3,Salta,ADSL,76600.0
425,2018,3,San Juan,ADSL,54025.0
426,2018,3,San Luis,ADSL,11096.0
427,2018,3,Santa Cruz,ADSL,18606.0
428,2018,3,Santa Fe,ADSL,339126.0
429,2018,3,Santiago Del Estero,ADSL,25805.0
430,2018,3,Tierra Del Fuego,ADSL,19365.0
431,2018,3,Tucumán,ADSL,161209.0
432,2018,2,Buenos Aires,ADSL,1450203.0
433,2018,2,Capital Federal,ADSL,342431.0
434,2018,2,Catamarca,ADSL,27444.0
435,2018,2,Chaco,ADSL,54134.0
436,2018,2,Chubut,ADSL,58935.0
437,2018,2,Córdoba,ADSL,345141.0
438,2018,2,Corrientes,ADSL,56541.0
439,2018,2,Entre Ríos,ADSL,104811.0
440,2018,2,Formosa,ADSL,23543.0
441,2018,2,Jujuy,ADSL,33571.0
442,2018,2,La Pampa,ADSL,12416.0
443,2018,2,La Rioja,ADSL,16663.0
444,2018,2,Mendoza,ADSL,152938.0
445,2018,2,Misiones,ADSL,57265.0
446,2018,2,Neuquén,ADSL,46633.0
447,2018,2,Río Negro,ADSL,68667.0
448,2018,2,Salta,ADSL,78386.0
449,2018,2,San Juan,ADSL,54080.0
450,2018,2,San Luis,ADSL,11104.0
451,2018,2,Santa Cruz,ADSL,18615.0
452,2018,2,Santa Fe,ADSL,337934.0
453,2018,2,Santiago Del Estero,ADSL,26074.0
454,2018,2,Tierra Del Fuego,ADSL,19372.0
455,2018,2,Tucumán,ADSL,160315.0
456,2018,1,Buenos Aires,ADSL,1452061.0
457,2018,1,Capital Federal,ADSL,349995.0
458,2018,1,Catamarca,ADSL,27300.0
459,2018,1,Chaco,ADSL,54879.0
460,2018,1,Chubut,ADSL,56375.0
461,2018,1,Córdoba,ADSL,349342.0
462,2018,1,Corrientes,ADSL,56937.0
463,2018,1,Entre Ríos,ADSL,106998.0
464,2018,1,Formosa,ADSL,23556.0
465,2018,1,Jujuy,ADSL,33856.0
466,2018,1,La Pampa,ADSL,10807.0
467,2018,1,La Rioja,ADSL,16960.0
468,2018,1,Mendoza,ADSL,152931.0
469,2018,1,Misiones,ADSL,56311.0
470,2018,1,Neuquén,ADSL,46714.0
