,Año,Trimestre,Provincia,Rango_Velocidad,Accesos
337,2019,2,Capital Federal,HASTA 512 kbps,74.0
338,2019,2,Catamarca,HASTA 512 kbps,34.0
339,2019,2,Chaco,HASTA 512 kbps,69.0
340,2019,2,Chubut,HASTA 512 kbps,66.0
341,2019,2,Córdoba,HASTA 512 kbps,81.0
342,2019,2,Corrientes,HASTA 512 kbps,10.0
343,2019,2,Entre Ríos,HASTA 512 kbps,18.0
344,2019,2,Formosa,HASTA 512 kbps,1110.0
345,2019,2,Jujuy,HASTA 512 kbps,27.0
346,2019,2,La Pampa,HASTA 512 kbps,236.0
347,2019,2,La Rioja,HASTA 512 kbps,9.0
348,2019,2,Mendoza,HASTA 512 kbps,20.0
349,2019,2,Misiones,HASTA 512 kbps,47.0
350,2019,2,Neuquén,HASTA 512 kbps,302.0
351,2019,2,Río Negro,HASTA 512 kbps,384.0
352,2019,2,Salta,HASTA 512 kbps,49.0
353,2019,2,San Juan,HASTA 512 kbps,22.0
354,2019,2,San Luis,HASTA 512 kbps,57.0
355,2019,2,Santa Cruz,HASTA 512 kbps,25.0
356,2019,2,Santa Fe,HASTA 512 kbps,321.0
357,2019,2,Santiago Del Estero,HASTA 512 kbps,39.0
358,2019,2,Tierra Del Fuego,HASTA 512 kbps,6.0
359,2019,2,Tucumán,HASTA 512 kbps,16.0
360,2019,1,Buenos Aires,HASTA 512 kbps,162513.0
361,2019,1,Capital Federal,HASTA 512 kbps,74.0
362,2019,1,Catamarca,HASTA 512 kbps,34.0
363,2019,1,Chaco,HASTA 512 kbps,69.0
364,2019,1,Chubut,HASTA 512 kbps,66.0
365,2019,1,Córdoba,HASTA 512 kbps,81.0
366,2019,1,Corrientes,HASTA 512 kbps,10.0
367,2019,1,Entre Ríos,HASTA 512 kbps,18.0
368,2019,1,Formosa,HASTA 512 kbps,1110.0
369,2019,1,Jujuy,HASTA 512 kbps,27.0
370,2019,1,La Pampa,HASTA 512 kbps,236.0
371,2019,1,La Rioja,HASTA 512 kbps,9.0
372,2019,1,Mendoza,HASTA 512 kbps,20.0
373,2019,1,Misiones,HASTA 512 kbps,47.0
374,2019,1,Neuquén,HASTA 512 kbps,1328.0
375,2019,1,Río Negro,HASTA 512 kbps,384.0
376,2019,1,Salta,HASTA 512 kbps,49.0
377,2019,1,San Juan,HASTA 512 kbps,22.0
378,2019,1,San Luis,HASTA 512 kbps,57.0
379,2019,1,Santa Cruz,HASTA 512 kbps,25.0
380,2019,1,Santa Fe,HASTA 512 kbps,333.0
381,2019,1,Santiago Del Estero,HASTA 512 kbps,39.0
382,2019,1,Tierra Del Fuego,HASTA 512 kbps,6.0
383,2019,1,Tucumán,HASTA 512 kbps,16.0
384,2018,4,Buenos Aires,HASTA 512 kbps,134673.0
385,2018,4,Capital Federal,HASTA 512 kbps,74.0
386,2018,4,Catamarca,HASTA 512 kbps,34.0
