,Provincia,Localidad,Latitud,Longitud,Tecnología,Disponible
315,Buenos Aires,Don Orione,-34.8210751643113,-58.3447457989957,ADSL,0
316,Buenos Aires,Glew,-34.8860114180413,-58.3818301842512,ADSL,1
317,Buenos Aires,Jose Mármol,-34.7851442510713,-58.3681475603787,ADSL,0
318,Buenos Aires,Longchamps,-34.8609450255718,-58.3891476922426,ADSL,1
319,Buenos Aires,Malvinas Argentinas,-34.8189583169642,-58.4235610606239,ADSL,1
320,Buenos Aires,Ministro Rivadavia,-34.8556895005541,-58.3616465427911,ADSL,1
321,Buenos Aires,Rafael Calzada,-34.7911367513318,-58.350598184222,ADSL,1
322,Buenos Aires,San Francisco Solano,-34.7866743578473,-58.3219363521574,ADSL,1
323,Buenos Aires,San Jose,-34.7673771924196,-58.3432771404358,ADSL,1
324,Buenos Aires,Lomas de Copello,-34.9520385659845,-57.8409385980167,ADSL,0
325,Mendoza,El Tropezón,-34.6856449091453,-68.2855505604444,ADSL,0
326,Buenos Aires,Villa Juan Martín De Pueyrredon,-34.5474839124216,-58.5750972559389,ADSL,0
327,Buenos Aires,Villa Libertad,-34.5846960052521,-58.5623334028073,ADSL,0
328,Buenos Aires,Villa Lynch,-34.590146441043,-58.5234377223288,ADSL,1
329,Buenos Aires,Villa Maipu,-34.5682131696117,-58.5245451491949,ADSL,1
